ID Google Scholar,Name,Affiliation,Citations,Profile URL
2RlR0lgAAAAJ,Elvy Maria Manurung,Parahyangan Catholic University,390,https://scholar.google.com/citations?hl=en&user=2RlR0lgAAAAJ
RrcueGcAAAAJ,Gandhi Pawitan,Parahyangan Catholic University,384,https://scholar.google.com/citations?hl=en&user=RrcueGcAAAAJ
q8UXsOQAAAAJ,Niken Savitri,Universitas Katolik Parahyangan,379,https://scholar.google.com/citations?hl=en&user=q8UXsOQAAAAJ
vcoEh8kAAAAJ,Dandy Marcelino,"Bank Rakyat Indonesia, Universitas Katolik Parahyangan",376,https://scholar.google.com/citations?hl=en&user=vcoEh8kAAAAJ
V3-YfcgAAAAJ,RF Bhanu Viktorahadi Pr.,Universitas Katolik Parahyangan Bandung,372,https://scholar.google.com/citations?hl=en&user=V3-YfcgAAAAJ
jbnAov8AAAAJ,Yulius Purwadi Hermawan,Parahyangan Catholic University,363,https://scholar.google.com/citations?hl=en&user=jbnAov8AAAAJ
t6XBpTQAAAAJ,Albert Wicaksono,Parahyangan Catholic University,349,https://scholar.google.com/citations?hl=en&user=t6XBpTQAAAAJ
RZGeEikAAAAJ,Feby Ivalerina Kartikasari,Fakultas Hukum Universitas Katolik Parahyangan,344,https://scholar.google.com/citations?hl=en&user=RZGeEikAAAAJ
Vv2ksAsAAAAJ,Bobby Minola Ginting,"Parahyangan Catholic University, Technical University of Munich, Hiroshima University",340,https://scholar.google.com/citations?hl=en&user=Vv2ksAsAAAAJ
gwcBwkQAAAAJ,GOUW Tjie-Liong,Universitas Katolik Parahyangan,340,https://scholar.google.com/citations?hl=en&user=gwcBwkQAAAAJ
dDiVR7sAAAAJ,Dharma Lesmono,"Department of Mathematics, Universitas Katolik Parahyangan",339,https://scholar.google.com/citations?hl=en&user=dDiVR7sAAAAJ
AyAMl94AAAAJ,YIP Arry Miryanti,Universitas Katolik Parahyangan,332,https://scholar.google.com/citations?hl=en&user=AyAMl94AAAAJ
S7qSqcUAAAAJ,William Xaveriano Waresindo,"Institut Teknologi Bandung, Universitas Katolik Parahyangan",330,https://scholar.google.com/citations?hl=en&user=S7qSqcUAAAAJ
hoQLTTwAAAAJ,Ferry Jaya Permana,"Department of Mathematics, Universitas Katolik Parahyangan",321,https://scholar.google.com/citations?hl=en&user=hoQLTTwAAAAJ
EAybSIgAAAAJ,Thedy Yogasara,Parahyangan Catholic University,320,https://scholar.google.com/citations?hl=en&user=EAybSIgAAAAJ
7lHWgh0AAAAJ,Aloysius Rusli,Universitas Katolik Parahyangan,319,https://scholar.google.com/citations?hl=en&user=7lHWgh0AAAAJ
3xJ-rRoAAAAJ,Andy Chandra,Universitas Katolik Parahyangan,314,https://scholar.google.com/citations?hl=en&user=3xJ-rRoAAAAJ
0Q2Sd0wAAAAJ,Fransisca Mulyono,Universitas Katolik Parahyangan,313,https://scholar.google.com/citations?hl=en&user=0Q2Sd0wAAAAJ
8eGAP90AAAAJ,Sanerya Hendrawan,Parahyangan Catholic University,311,https://scholar.google.com/citations?hl=en&user=8eGAP90AAAAJ
pkC7RHYAAAAJ,Kevin Cleary Wanta,"Department of Chemical Engineering, Parahyangan Catholic University",307,https://scholar.google.com/citations?hl=en&user=pkC7RHYAAAAJ
XYAvqvIAAAAJ,Maria Widyarini,Parahyangan Catholic University,303,https://scholar.google.com/citations?hl=en&user=XYAvqvIAAAAJ
lYljaKIAAAAJ,Ariestya Arlene Arbita,"Senior lecturer of Chemical Engineering, Universitas Katolik Parahyangan",301,https://scholar.google.com/citations?hl=en&user=lYljaKIAAAAJ
qRpMvFEAAAAJ,"Prof. Ir. Anastasia Caroline Sutandi, ST, MT, Ph.D., IPU",Universitas Katolik Parahyangan,298,https://scholar.google.com/citations?hl=en&user=qRpMvFEAAAAJ
f2F14DQAAAAJ,Anggia V,Parahyangan Catholic University,296,https://scholar.google.com/citations?hl=en&user=f2F14DQAAAAJ
ifTdtG4AAAAJ,Sentris,Universitas Katolik Parahyangan,295,https://scholar.google.com/citations?hl=en&user=ifTdtG4AAAAJ
